Barclays Bank UK PLC
Account: Business Current Account ****4471
Statement Period: 01 Apr 2026 - 30 Jun 2026
Transaction Date,Transaction Description,Money In,Money Out,Balance,Transaction Type,Reference,Card Number (Last 4 Digits)
02/04/2026,"PAYMENT FROM ACME CORP, LONDON","£3,200.00",,£15650.30,FASTER PAYMENT,INV-1042,
03/04/2026,Tesco Express   ,,£42.18,£15608.12,DEBIT CARD,,4471
03/04/2026,SHELL A312 LONDON,,Ł68.40,£15539.72,DEBIT CARD,,4471
04/04/2026,SLACK.COM T35XJ8K2M,,£7.25,£15532.47,DIRECT DEBIT,SUB-88213,
05/04/2026,WAGAMAMA SOHO,,£34.60,£15497.87,DEBIT CARD,,4471
06/04/2026,BRITISH GAS DD,,£81.00,£15416.87,DIRECT DEBIT,,

08/04/2026,THAMES WATER,,£42.50,£15374.37,DIRECT DEBIT,,
09/04/2026,tesco express,,£18.76,£15355.61,DEBIT CARD,,4471
10/04/2026,ADOBE CREATIVE CLOUD,,£54.99,£15300.62,DIRECT DEBIT,SUB-77102,
11/04/2026,TRANSFER TO SAVINGS,,£500.00,£14800.62,TRANSFER,,
12/04/2026,NOTION LABS INC,,£8.00,£14792.62,DIRECT DEBIT,,
13/04/2026,PRET A MANGER,,£6.85,£14785.77,DEBIT CARD,,4471
14/04/2026,BP FUEL STATION M1,,£71.20,£14714.57,DEBIT CARD,,4471
15/04/2026,SAINSBURYS S/MKT,,£29.40,£14685.17,DEBIT CARD,,4471
16/04/2026,AVIVA INSURANCE,,£120.00,£14565.17,DIRECT DEBIT,POL-55210,
18/04/2026,JONES & CO ACCOUNTANTS,,£250.00,£14315.17,FASTER PAYMENT,,
20/04/2026,TESCO STORES 2984,,£33.15,£14282.02,DEBIT CARD,,4471
22/04/2026,OWNER'S DRAWING,,£800.00,£13482.02,TRANSFER,,
24/04/2026,PAYMENT FROM WONDERFUL WIDGETS LTD,"£1,850.00",,£15332.02,FASTER PAYMENT,INV-1043,

30/04/2026,HMRC VAT RETURN,,£610.00,£14722.02,DIRECT DEBIT,,
02/05/2026,SHELL A312 LONDON,,£64.10,£14657.92,DEBIT CARD,,4471
03/05/2026,WAGAMAMA SOHO,,£41.20,£14616.72,DEBIT CARD,,4471
2026-05-05,BRITISH GAS DD,,£79.50,£14537.22,DIRECT DEBIT,,
06/05/2026,Tesco Express,,£47.32,£14489.90,DEBIT CARD,,4471
10/05/2026,ADOBE CREATIVE CLOUD,,£54.99,£14434.91,DIRECT DEBIT,SUB-77102,
12/05/2026,NOTION LABS INC,,£8.00,£14426.91,DIRECT DEBIT,,
16/05/2026,BP FUEL STATION M1,,£58.90,£14368.01,DEBIT CARD,,4471
18/05/2026,JONES & CO ACCOUNTANTS,,£250.00,£14118.01,FASTER PAYMENT,,
20/05/2026,"PAYMENT FROM ACME CORP, LONDON","£2,750.00",,£16868.01,FASTER PAYMENT,INV-1044,
22/05/2026,tesco express,,£22.05,£16845.96,DEBIT CARD,,4471
26/05/2026,TRANSFER TO SAVINGS,,£300.00,£16545.96,TRANSFER,,
28/05/2026,HMRC SELF ASSESSMENT,,£450.00,£16095.96,DIRECT DEBIT,,
2026-06-02,SAINSBURYS S/MKT,,£31.60,£16064.36,DEBIT CARD,,4471
04/06/2026,SLACK.COM,,£7.25,£16057.11,DIRECT DEBIT,SUB-88213,
08/06/2026,WAGAMAMA SOHO,,£38.40,£16018.71,DEBIT CARD,,4471
10/06/2026,TESCO STORES 2984,,£51.22,£15967.49,DEBIT CARD,,4471
12/06/2026,BRITISH GAS DD,,£82.10,£15885.39,DIRECT DEBIT,,
14/06/2026,PAYMENT FROM WONDERFUL WIDGETS LTD,"£1,975.00",,£17860.39,FASTER PAYMENT,INV-1045,
18/06/2026,JONES & CO ACCOUNTANTS,,£250.00,£17610.39,FASTER PAYMENT,,
22/06/2026,THAMES WATER,,£42.50,£17567.89,DIRECT DEBIT,,
24/06/2026,OWNER'S DRAWING,,£600.00,£16967.89,TRANSFER,,
